,ALPHA_M,Field,GLAT,GLON,M_H,VGSR,X,Y,Z,pmbb,pmll,pmll_gsr,shdist,zbins
308214,0.21722604,002-06-O        ,-5.75100496422,1.60277312336,-0.6584126,-143.8188544289244,6.9561653,0.1946452,-0.7008568,0.4476923467043008,-2.923084520764194,2.9769154792358066,6.99409186198,3.0
308216,0.1864647,005-03          ,-3.46238945916,5.86075981407,-0.57104903,129.2200839268489,8.974219,0.921191,-0.54584086,-0.12053531063077116,-2.7645812202254585,3.135418779774542,9.03787292447,3.0
308228,0.0074680485,004-04          ,-4.16526907627,4.56946851211,0.49594486,-13.47904391490188,6.9434443,0.5549377,-0.50728613,-3.749607824326673,-4.260319174242205,1.6396808257577957,6.98403277048,3.0
308230,-0.04206923,003-05          ,-5.41429238345,2.24807945055,0.23349667,-18.62666150167616,5.863573,0.23018773,-0.5561833,-2.0862526772845853,-5.542026686626441,0.3579733133735594,5.89438834659,3.0
308235,-0.03451495,003-05          ,-4.94653172633,3.12271799038,0.57265484,-121.52263849762116,5.703798,0.31117904,-0.49439713,-0.6397973691908476,-4.79414096743369,1.1058590325663102,5.73363497062,3.0
308241,-0.013476005,014+00          ,0.767025072781,13.6169821684,0.1693854,106.13176039351431,4.03585,0.977645,0.05558744,-2.436962402020977,2.57262297790743,8.472622977907431,4.15294636086,5.0
308251,0.17227294,350-12          ,-11.5461632216,-9.675421541999981,-0.2177456,-96.42991862242913,8.465404,-1.4432764,-1.7543757,-2.8326623599758434,-4.892876199375586,1.0071238006244148,8.76492651144,0.0
308255,-0.03826195,003-05          ,-4.6451028295,3.69606388809,0.56905484,-6.018323013911215,6.979658,0.4508779,-0.5682926,-2.4938851080290054,-6.437881961859115,-0.5378819618591146,7.01725537164,3.0
308259,0.23660605,003-05          ,-5.30784484961,2.46240676612,-0.97855586,66.32458314589961,8.54785,0.36759427,-0.794887,-0.43148333213676926,-4.669393639034324,1.2306063609656768,8.592595635,3.0
308263,-0.01822295,003-05          ,-5.12773522903,2.80178702995,0.5513949,91.29977434300419,8.57438,0.4196314,-0.7703604,1.6172320128744069,-6.608877669143593,-0.7088776691435923,8.61913743401,3.0
308270,0.23156606,012+00          ,0.0115707734146,12.2562481358,-0.41187516,21.910462553912,6.452442,1.4017053,0.001322705,-5.300403307861721,-1.3890703397007396,4.510929660299261,6.60293770758,5.0
308276,-0.06943295,004-04          ,-4.55690867867,3.87553604718,0.47185487,22.257368211482735,6.409344,0.43420073,-0.5120127,2.731158865414402,-6.573331623189146,-0.6733316231891457,6.4444068575,3.0
308286,-0.010980871,016+02          ,1.59631285059,15.1758142618,0.35812548,45.23795445750504,4.503024,1.2214081,0.13001738,0.30027051580459274,-2.0005933612246087,3.8994066387753916,4.66754418754,5.0
308289,0.23748605,005-03          ,-3.87105296848,5.16250589082,-0.5333499,-80.24248903272604,7.283706,0.65806913,-0.4948749,1.6038707766780016,-2.8669337251005675,3.033066274899433,7.33009745168,3.0
308290,-0.05575045,008-02          ,-2.46159283801,7.75970807341,0.56282485,48.67579945918113,6.6023965,0.8996916,-0.28646618,3.4589159223158816,-4.442958646905372,1.4570413530946285,6.66956876952,4.0
308292,0.14066605,003-05          ,-5.22586593296,2.64839049075,-0.6538966,192.37442729321265,9.38957,0.43433148,-0.8597241,4.772193849305722,-11.23343157232626,-5.33343157232626,9.43884514691,2.0
308293,0.00263305,003-05          ,-5.38740469066,2.34652534207,0.0035598539,-16.550580064005523,6.649204,0.27247253,-0.62759614,1.3757618213585607,-5.329178920004995,0.5708210799950058,6.68431211813,3.0
308296,0.014690053,016+02          ,2.23091197497,16.3441722534,-0.014230147,148.56578750646284,5.686508,1.6676172,0.2308453,0.20004878752705962,-0.20494086608126144,5.695059133918739,5.93048148036,5.0
308297,0.21921606,004-04          ,-4.29487200282,4.38446727679,-0.897267,171.9785306087722,8.938978,0.685386,-0.67330444,-2.625458673402736,-11.025445304632964,-5.125445304632963,8.99046287197,3.0
308302,0.06600425,002-06-O        ,-5.2058795531,2.69294711204,0.15584931,19.024340257582228,9.990751,0.46992666,-0.91128474,2.0248345985654894,-6.759589545940404,-0.8595895459404037,10.0432258935,2.0
308303,0.41662318,003-05-O        ,-5.1207913621,2.85257148096,-0.5945941,43.652550248984774,4.098236,0.20420955,-0.36771843,10.224096704726136,-16.771535108644734,-10.871535108644734,4.1197643442,4.0
308306,0.11037606,016+02          ,1.88240837593,15.7145506613,0.08275385,94.78855480089179,7.0213757,1.975551,0.23971282,1.9492437149965465,-3.6048872269036716,2.2951127730963288,7.29794375731,5.0
308309,0.027141053,014+02          ,1.15075911286,14.3802902759,0.44311485,186.24720704658128,5.2722898,1.351766,0.10932218,0.40469498314753816,-8.289308181244003,-2.3893081812440027,5.44391981122,5.0
308321,0.21972604,350-12          ,-11.768557762,-10.079575186999989,-0.7128723,-210.57742301272452,7.8504286,-1.3954833,-1.661194,-4.856004110984755,-7.059722235844231,-1.1597222358442307,8.14470159947,0.0
308322,0.13972606,005-03          ,-3.8956282652,5.14331097532,0.32836485,87.77112656716997,8.368598,0.7532607,-0.5721888,0.8380010511495,-7.465124699686324,-1.565124699686324,8.42188973722,3.0
308324,0.18340605,350-12          ,-11.5696457033,-9.668006239000022,-0.5927582,-110.99482111256864,7.2356853,-1.2326567,-1.502629,-2.864608909521893,-7.1138432401463225,-1.2138432401463222,7.49216115284,1.0
308327,0.020642053,014+00          ,0.982551928181,14.0861414452,0.043692753,77.19445720370848,4.904927,1.2307761,0.08672119,0.5393105987379416,-4.178523669264517,1.7214763307354835,5.05773065246,5.0
308331,-0.04118435,004-04          ,-4.32812245379,4.34767063767,0.51455486,45.78362954749956,6.079997,0.4622494,-0.46149564,-1.9427353205448414,-3.694116764314502,2.2058832356854983,6.11498311385,3.0
308334,0.10125606,002-06-O        ,-5.87940118739,1.45312026028,-1.1644282,167.35309231152735,10.232776,0.2595834,-1.0540899,4.060905203124004,-8.66620808148176,-2.766208081481759,10.290198372,2.0
308336,-0.014150951,003-05          ,-5.02803166169,3.04957946507,0.15413485,164.4727681515857,8.907465,0.47455633,-0.7848183,0.9416085043319953,-8.197677679483999,-2.297677679483998,8.95455653295,3.0
308337,0.068583556,025+06          ,6.12039708352,23.5937245442,0.21274838,129.2490095960392,4.4157605,1.9286281,0.5166816,-1.6409934055132596,0.64210663284104,6.54210663284104,4.84618484074,6.0
308343,0.23085605,012+00          ,0.0237093152251,12.3493408792,-0.44427514,-41.79771277730924,6.230121,1.3640131,0.0026287334,,,,6.37769121332,5.0
308346,0.22102605,005-03          ,-3.64967323529,5.61633191848,-0.41680515,106.59514209851328,11.655821,1.1462268,-0.7470718,-0.01490737586344526,-9.61923931665281,-3.719239316652809,11.7358473964,3.0
308347,-0.02840595,005-03          ,-3.52081182567,5.85600033993,0.43329486,72.94599332090185,5.8497624,0.59997886,-0.36181673,3.248267212325976,-6.778680700613609,-0.878680700613609,5.89157095046,4.0
